Rank,County,Region,Black population,% of county,Cumulative,Cumulative % of state
210,"Zapata","El Paso/Border/RGV",37,0.3%,3528032,100.0%
211,"Parmer","FW/Denton/Panhandle",35,0.4%,3528067,100.0%
212,"Carson","FW/Denton/Panhandle",35,0.6%,3528102,100.0%
213,"Motley","FW/Denton/Panhandle",33,2.6%,3528135,100.0%
214,"Upton","FW/Denton/Panhandle",30,0.9%,3528165,100.0%
215,"Bailey","FW/Denton/Panhandle",30,0.4%,3528195,100.0%
216,"Mills","Central Texas/Austin",27,0.6%,3528222,100.0%
217,"Brewster","El Paso/Border/RGV",27,0.3%,3528249,100.0%
218,"Baylor","FW/Denton/Panhandle",26,0.8%,3528275,100.0%
219,"Hudspeth","El Paso/Border/RGV",25,0.8%,3528300,100.0%
220,"Dickens","FW/Denton/Panhandle",24,1.5%,3528324,100.0%
221,"Edwards","San Antonio/Corpus",22,1.6%,3528346,100.0%
222,"Schleicher","San Antonio/Corpus",18,0.7%,3528364,100.0%
223,"Crockett","San Antonio/Corpus",17,0.6%,3528381,100.0%
224,"Dallam","FW/Denton/Panhandle",14,0.2%,3528395,100.0%
225,"Lipscomb","FW/Denton/Panhandle",12,0.4%,3528407,100.0%
226,"Hansford","FW/Denton/Panhandle",11,0.2%,3528418,100.0%
227,"Hemphill","FW/Denton/Panhandle",11,0.3%,3528429,100.0%
228,"Jeff Davis","El Paso/Border/RGV",11,0.6%,3528440,100.0%
229,"Yoakum","FW/Denton/Panhandle",11,0.1%,3528451,100.0%
230,"Borden","FW/Denton/Panhandle",11,1.5%,3528462,100.0%
231,"Montague","FW/Denton/Panhandle",10,0.0%,3528472,100.0%
232,"Armstrong","FW/Denton/Panhandle",10,0.5%,3528482,100.0%
233,"Menard","San Antonio/Corpus",8,0.4%,3528490,100.0%
234,"Stonewall","FW/Denton/Panhandle",7,0.6%,3528497,100.0%
235,"Kent","FW/Denton/Panhandle",6,0.8%,3528503,100.0%
236,"Jim Hogg","El Paso/Border/RGV",5,0.1%,3528508,100.0%
237,"Culberson","El Paso/Border/RGV",4,0.2%,3528512,100.0%
238,"Sherman","FW/Denton/Panhandle",4,0.2%,3528516,100.0%
239,"Sutton","San Antonio/Corpus",4,0.1%,3528520,100.0%
240,"Foard","FW/Denton/Panhandle",3,0.3%,3528523,100.0%
241,"Kinney","El Paso/Border/RGV",3,0.1%,3528526,100.0%
242,"Mason","San Antonio/Corpus",3,0.1%,3528529,100.0%
243,"Roberts","FW/Denton/Panhandle",2,0.3%,3528531,100.0%
244,"Sterling","FW/Denton/Panhandle",2,0.1%,3528533,100.0%
245,"Glasscock","FW/Denton/Panhandle",0,0.0%,3528533,100.0%
246,"Irion","San Antonio/Corpus",0,0.0%,3528533,100.0%
247,"Kenedy","El Paso/Border/RGV",0,0.0%,3528533,100.0%
248,"King","FW/Denton/Panhandle",0,0.0%,3528533,100.0%
249,"Loving","El Paso/Border/RGV",0,0.0%,3528533,100.0%
250,"McMullen","El Paso/Border/RGV",0,0.0%,3528533,100.0%
251,"Ochiltree","FW/Denton/Panhandle",0,0.0%,3528533,100.0%
252,"Presidio","El Paso/Border/RGV",0,0.0%,3528533,100.0%
253,"Terrell","El Paso/Border/RGV",0,0.0%,3528533,100.0%
254,"Throckmorton","FW/Denton/Panhandle",0,0.0%,3528533,100.0%
